mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.015896368026733398,0.0015867070403457093,0.053978490829467776,0.001562715913676127,ball_tree,3,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'uniform'}",0.8596491228070176,0.8392857142857143,0.8928571428571429,0.8214285714285714,0.9285714285714286,0.868358395989975,0.03833869738249728,19,0.9151785714285714,0.92,0.9155555555555556,0.9244444444444444,0.9288888888888889,0.9208134920634923,0.005262239928036027,0.7321428571428571,0.6428571428571429,0.6964285714285714,0.625,0.6785714285714286,0.675,0.038132422328683226,7,0.8526785714285714,0.8616071428571429,0.8348214285714286,0.8169642857142857,0.8392857142857143,0.8410714285714287,0.015361295119718987,0.7964601769911505,0.7410714285714286,0.7946428571428571,0.7232142857142857,0.8035714285714286,0.77179203539823,0.03299745609186473,19,0.8839285714285714,0.89086859688196,0.8752783964365256,0.8708240534521158,0.8841870824053452,0.8810173401209036,0.007105045550499028,0.5970524565578776,0.49172252823733775,0.6009942011789684,0.4552986372567942,0.6270544465288198,0.5544244539519596,0.06785051629645555,19,0.7693612719046122,0.7830222116094402,0.7529359366674477,0.7458616754818791,0.7713954751758707,0.76451531416785,0.01338181896694081
0.016248226165771484,0.0012362645361550728,0.0529416561126709,0.0012122159412734958,ball_tree,3,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance'}",0.8596491228070176,0.8392857142857143,0.8928571428571429,0.8214285714285714,0.9285714285714286,0.868358395989975,0.03833869738249728,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.6428571428571429,0.6964285714285714,0.625,0.6785714285714286,0.675,0.038132422328683226,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7964601769911505,0.7410714285714286,0.7946428571428571,0.7232142857142857,0.8035714285714286,0.77179203539823,0.03299745609186473,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5970524565578776,0.49172252823733775,0.6009942011789684,0.4552986372567942,0.6270544465288198,0.5544244539519596,0.06785051629645555,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015230512619018555,0.0003872714407002028,0.054885053634643556,0.0009068545012261924,ball_tree,5,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.8245614035087719,0.8571428571428571,0.9285714285714286,0.875,0.9107142857142857,0.8791979949874686,0.03720274699727584,1,0.9107142857142857,0.92,0.8933333333333333,0.9244444444444444,0.9155555555555556,0.9128095238095237,0.010754785302529393,0.6785714285714286,0.6428571428571429,0.75,0.7142857142857143,0.6964285714285714,0.6964285714285715,0.0357142857142857,1,0.7723214285714286,0.8125,0.7723214285714286,0.78125,0.7946428571428571,0.7866071428571428,0.015309310892394847,0.7522123893805309,0.75,0.8392857142857143,0.7946428571428571,0.8035714285714286,0.7879424778761063,0.033590349680967836,1,0.8415178571428571,0.8663697104677061,0.8329621380846325,0.8530066815144766,0.8552338530066815,0.8498180480432709,0.011545308357466184,0.508905099309116,0.5118906968889915,0.6896563082085964,0.5970467417078505,0.6215815605080611,0.5858160813245231,0.06865617462650386,1,0.6896721455835246,0.7368994389552282,0.6707040486379785,0.7132056757758534,0.715585582787797,0.7052133783480763,0.022838080623361214
0.015275907516479493,0.0005080571233407628,0.05353679656982422,0.0004402562002053296,ball_tree,5,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.8245614035087719,0.8571428571428571,0.9285714285714286,0.875,0.9107142857142857,0.8791979949874686,0.03720274699727584,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6785714285714286,0.6428571428571429,0.75,0.7142857142857143,0.6964285714285714,0.6964285714285715,0.0357142857142857,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7522123893805309,0.75,0.8392857142857143,0.7946428571428571,0.8035714285714286,0.7879424778761063,0.033590349680967836,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.508905099309116,0.5118906968889915,0.6896563082085964,0.5970467417078505,0.6215815605080611,0.5858160813245231,0.06865617462650386,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015206480026245117,0.0005535400991411289,0.05565958023071289,0.0007950558252585844,ball_tree,7,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'uniform'}",0.8596491228070176,0.8392857142857143,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8755012531328321,0.03167824623423553,13,0.8973214285714286,0.9066666666666666,0.9111111111111111,0.9288888888888889,0.9111111111111111,0.9110198412698413,0.010255887701816941,0.6785714285714286,0.6071428571428571,0.6964285714285714,0.6785714285714286,0.6785714285714286,0.6678571428571429,0.03113499245386197,19,0.7276785714285714,0.78125,0.7366071428571429,0.7767857142857143,0.7589285714285714,0.75625,0.021241745095304142,0.7699115044247787,0.7232142857142857,0.8125,0.7678571428571429,0.7857142857142857,0.7718394437420986,0.029085301231152803,13,0.8125,0.844097995545657,0.8240534521158129,0.8530066815144766,0.8351893095768375,0.8337694877505568,0.014321704150198889,0.547741189964478,0.4589667620962697,0.6425534669347776,0.5444655064804708,0.5850179393017045,0.55574897295554,0.059916492068375654,13,0.6341922315732575,0.6935260898650792,0.6579813394737674,0.7141559739021361,0.6780927638383607,0.6755896797305201,0.027709715427006773
0.01596102714538574,0.0006222992303007036,0.05386133193969726,0.0012286456761057144,ball_tree,7,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance'}",0.8596491228070176,0.8392857142857143,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8755012531328321,0.03167824623423553,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6785714285714286,0.6071428571428571,0.6964285714285714,0.6785714285714286,0.6785714285714286,0.6678571428571429,0.03113499245386197,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7699115044247787,0.7232142857142857,0.8125,0.7678571428571429,0.7857142857142857,0.7718394437420986,0.029085301231152803,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.547741189964478,0.4589667620962697,0.6425534669347776,0.5444655064804708,0.5850179393017045,0.55574897295554,0.059916492068375654,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015144634246826171,0.0005893674174465817,0.05600886344909668,0.0005593283889825742,ball_tree,9,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'uniform'}",0.8596491228070176,0.8214285714285714,0.9107142857142857,0.875,0.9285714285714286,0.8790726817042607,0.03786296837735234,7,0.9107142857142857,0.9155555555555556,0.8933333333333333,0.9333333333333333,0.9111111111111111,0.912809523809524,0.012769996644905976,0.7142857142857143,0.5892857142857143,0.7142857142857143,0.6607142857142857,0.6785714285714286,0.6714285714285714,0.04601463830973259,13,0.71875,0.7232142857142857,0.7008928571428571,0.7232142857142857,0.7276785714285714,0.71875,0.009364364715804934,0.7876106194690266,0.7053571428571429,0.8125,0.7678571428571429,0.8035714285714286,0.7753792667509481,0.03816289558418394,7,0.8147321428571429,0.8195991091314031,0.7973273942093542,0.8285077951002228,0.8195991091314031,0.8159531100859052,0.01032099594783362,0.5805193909927151,0.4222494211285681,0.637418092159512,0.5484543180953481,0.6270544465288198,0.5631391337809926,0.07742113296148552,7,0.641392968542374,0.6511079334332046,0.6057039044042692,0.671754236026906,0.6499901839193616,0.6439898452652232,0.021587448546880474
0.015775728225708007,0.0007694123785627468,0.054700803756713864,0.0014038863157313066,ball_tree,9,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance'}",0.8596491228070176,0.8214285714285714,0.9107142857142857,0.875,0.9285714285714286,0.8790726817042607,0.03786296837735234,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7142857142857143,0.5892857142857143,0.7142857142857143,0.6607142857142857,0.6785714285714286,0.6714285714285714,0.04601463830973259,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7876106194690266,0.7053571428571429,0.8125,0.7678571428571429,0.8035714285714286,0.7753792667509481,0.03816289558418394,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5805193909927151,0.4222494211285681,0.637418092159512,0.5484543180953481,0.6270544465288198,0.5631391337809926,0.07742113296148552,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.020728874206542968,0.0004960212996711767,0.05340108871459961,0.0015725296025359593,kd_tree,3,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'uniform'}",0.8596491228070176,0.8392857142857143,0.8928571428571429,0.8214285714285714,0.9285714285714286,0.868358395989975,0.03833869738249728,19,0.9151785714285714,0.92,0.9155555555555556,0.9244444444444444,0.9288888888888889,0.9208134920634923,0.005262239928036027,0.7321428571428571,0.6428571428571429,0.6964285714285714,0.625,0.6785714285714286,0.675,0.038132422328683226,7,0.8526785714285714,0.8616071428571429,0.8348214285714286,0.8169642857142857,0.8392857142857143,0.8410714285714287,0.015361295119718987,0.7964601769911505,0.7410714285714286,0.7946428571428571,0.7232142857142857,0.8035714285714286,0.77179203539823,0.03299745609186473,19,0.8839285714285714,0.89086859688196,0.8752783964365256,0.8708240534521158,0.8841870824053452,0.8810173401209036,0.007105045550499028,0.5970524565578776,0.49172252823733775,0.6009942011789684,0.4552986372567942,0.6270544465288198,0.5544244539519596,0.06785051629645555,19,0.7693612719046122,0.7830222116094402,0.7529359366674477,0.7458616754818791,0.7713954751758707,0.76451531416785,0.01338181896694081
0.021295785903930664,0.0008776377347099852,0.05172462463378906,0.0015376145406469559,kd_tree,3,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance'}",0.8596491228070176,0.8392857142857143,0.8928571428571429,0.8214285714285714,0.9285714285714286,0.868358395989975,0.03833869738249728,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7321428571428571,0.6428571428571429,0.6964285714285714,0.625,0.6785714285714286,0.675,0.038132422328683226,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7964601769911505,0.7410714285714286,0.7946428571428571,0.7232142857142857,0.8035714285714286,0.77179203539823,0.03299745609186473,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5970524565578776,0.49172252823733775,0.6009942011789684,0.4552986372567942,0.6270544465288198,0.5544244539519596,0.06785051629645555,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02055950164794922,0.00044433638637678564,0.05463728904724121,0.001833081784837148,kd_tree,5,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.8245614035087719,0.8571428571428571,0.9285714285714286,0.875,0.9107142857142857,0.8791979949874686,0.03720274699727584,1,0.9107142857142857,0.92,0.8933333333333333,0.9244444444444444,0.9155555555555556,0.9128095238095237,0.010754785302529393,0.6785714285714286,0.6428571428571429,0.75,0.7142857142857143,0.6964285714285714,0.6964285714285715,0.0357142857142857,1,0.7723214285714286,0.8125,0.7723214285714286,0.78125,0.7946428571428571,0.7866071428571428,0.015309310892394847,0.7522123893805309,0.75,0.8392857142857143,0.7946428571428571,0.8035714285714286,0.7879424778761063,0.033590349680967836,1,0.8415178571428571,0.8663697104677061,0.8329621380846325,0.8530066815144766,0.8552338530066815,0.8498180480432709,0.011545308357466184,0.508905099309116,0.5118906968889915,0.6896563082085964,0.5970467417078505,0.6215815605080611,0.5858160813245231,0.06865617462650386,1,0.6896721455835246,0.7368994389552282,0.6707040486379785,0.7132056757758534,0.715585582787797,0.7052133783480763,0.022838080623361214
0.02093791961669922,0.0006931797365951861,0.05305361747741699,0.0014945512229761046,kd_tree,5,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.8245614035087719,0.8571428571428571,0.9285714285714286,0.875,0.9107142857142857,0.8791979949874686,0.03720274699727584,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6785714285714286,0.6428571428571429,0.75,0.7142857142857143,0.6964285714285714,0.6964285714285715,0.0357142857142857,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7522123893805309,0.75,0.8392857142857143,0.7946428571428571,0.8035714285714286,0.7879424778761063,0.033590349680967836,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.508905099309116,0.5118906968889915,0.6896563082085964,0.5970467417078505,0.6215815605080611,0.5858160813245231,0.06865617462650386,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02049260139465332,0.0005374159635550166,0.05566697120666504,0.0018766219203817374,kd_tree,7,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'uniform'}",0.8596491228070176,0.8392857142857143,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8755012531328321,0.03167824623423553,13,0.8973214285714286,0.9066666666666666,0.9111111111111111,0.9288888888888889,0.9111111111111111,0.9110198412698413,0.010255887701816941,0.6785714285714286,0.6071428571428571,0.6964285714285714,0.6785714285714286,0.6785714285714286,0.6678571428571429,0.03113499245386197,19,0.7276785714285714,0.78125,0.7366071428571429,0.7767857142857143,0.7589285714285714,0.75625,0.021241745095304142,0.7699115044247787,0.7232142857142857,0.8125,0.7678571428571429,0.7857142857142857,0.7718394437420986,0.029085301231152803,13,0.8125,0.844097995545657,0.8240534521158129,0.8530066815144766,0.8351893095768375,0.8337694877505568,0.014321704150198889,0.547741189964478,0.4589667620962697,0.6425534669347776,0.5444655064804708,0.5850179393017045,0.55574897295554,0.059916492068375654,13,0.6341922315732575,0.6935260898650792,0.6579813394737674,0.7141559739021361,0.6780927638383607,0.6755896797305201,0.027709715427006773
0.021614742279052735,0.0010928567507678692,0.05388674736022949,0.0016355480925300272,kd_tree,7,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'distance'}",0.8596491228070176,0.8392857142857143,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8755012531328321,0.03167824623423553,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6785714285714286,0.6071428571428571,0.6964285714285714,0.6785714285714286,0.6785714285714286,0.6678571428571429,0.03113499245386197,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7699115044247787,0.7232142857142857,0.8125,0.7678571428571429,0.7857142857142857,0.7718394437420986,0.029085301231152803,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.547741189964478,0.4589667620962697,0.6425534669347776,0.5444655064804708,0.5850179393017045,0.55574897295554,0.059916492068375654,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02091073989868164,0.0007835314707611183,0.05635528564453125,0.0013130444604376426,kd_tree,9,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'uniform'}",0.8596491228070176,0.8214285714285714,0.9107142857142857,0.875,0.9285714285714286,0.8790726817042607,0.03786296837735234,7,0.9107142857142857,0.9155555555555556,0.8933333333333333,0.9333333333333333,0.9111111111111111,0.912809523809524,0.012769996644905976,0.7142857142857143,0.5892857142857143,0.7142857142857143,0.6607142857142857,0.6785714285714286,0.6714285714285714,0.04601463830973259,13,0.71875,0.7232142857142857,0.7008928571428571,0.7232142857142857,0.7276785714285714,0.71875,0.009364364715804934,0.7876106194690266,0.7053571428571429,0.8125,0.7678571428571429,0.8035714285714286,0.7753792667509481,0.03816289558418394,7,0.8147321428571429,0.8195991091314031,0.7973273942093542,0.8285077951002228,0.8195991091314031,0.8159531100859052,0.01032099594783362,0.5805193909927151,0.4222494211285681,0.637418092159512,0.5484543180953481,0.6270544465288198,0.5631391337809926,0.07742113296148552,7,0.641392968542374,0.6511079334332046,0.6057039044042692,0.671754236026906,0.6499901839193616,0.6439898452652232,0.021587448546880474
0.02119135856628418,0.0008637304743182016,0.054860162734985354,0.0016226102575425565,kd_tree,9,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance'}",0.8596491228070176,0.8214285714285714,0.9107142857142857,0.875,0.9285714285714286,0.8790726817042607,0.03786296837735234,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7142857142857143,0.5892857142857143,0.7142857142857143,0.6607142857142857,0.6785714285714286,0.6714285714285714,0.04601463830973259,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7876106194690266,0.7053571428571429,0.8125,0.7678571428571429,0.8035714285714286,0.7753792667509481,0.03816289558418394,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5805193909927151,0.4222494211285681,0.637418092159512,0.5484543180953481,0.6270544465288198,0.5631391337809926,0.07742113296148552,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
