mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,split3_test_Sensitivity,split4_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,split3_train_Sensitivity,split4_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_train_MCC,split1_train_MCC,split2_train_MCC,split3_train_MCC,split4_train_MCC,mean_train_MCC,std_train_MCC
0.10408544540405273,0.02614166667019699,0.025322818756103517,0.005914896808652468,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8245614035087719,0.8928571428571429,0.9464285714285714,0.875,0.875,0.8827694235588972,0.039148820342799914,24,0.9419642857142857,0.9422222222222222,0.9155555555555556,0.9333333333333333,0.9377777777777778,0.9341706349206349,0.009857005468970712,0.9107142857142857,0.8928571428571429,0.9285714285714286,0.9464285714285714,0.9464285714285714,0.925,0.020824828195876048,5,0.9821428571428571,0.96875,0.9776785714285714,0.9642857142857143,0.9732142857142857,0.9732142857142858,0.006313453403451295,0.8672566371681416,0.8928571428571429,0.9375,0.9107142857142857,0.9107142857142857,0.9038084702907712,0.02317959371800226,1,0.9620535714285714,0.955456570155902,0.9465478841870824,0.9487750556792873,0.955456570155902,0.9536579303213492,0.0055018582481131464,0.7375900660174,0.7857142857142857,0.8751395423021391,0.8235321051453478,0.8235321051453478,0.8091016208649041,0.0456910379462792,1,0.9248539483782946,0.9112434660043899,0.8948512919667299,0.8979932894729642,0.911498592340483,0.9080881176325724,0.010768470188053266
0.22628531455993653,0.05686601600796571,0.11927499771118164,0.04968665732334415,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8421052631578947,0.7678571428571429,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.8077067669172932,0.03516394334277473,28,0.84375,0.8577777777777778,0.8266666666666667,0.8755555555555555,0.8622222222222222,0.8531944444444445,0.016705972170838766,0.6964285714285714,0.8571428571428571,0.7321428571428571,0.7678571428571429,0.7321428571428571,0.7571428571428571,0.05486532677049005,19,0.8035714285714286,0.8258928571428571,0.8482142857142857,0.7678571428571429,0.7991071428571429,0.8089285714285713,0.026993243674698138,0.7699115044247787,0.8125,0.7589285714285714,0.8125,0.7589285714285714,0.7825537294563842,0.02477773305357401,16,0.8236607142857143,0.8418708240534521,0.8374164810690423,0.821826280623608,0.8307349665924276,0.831101853324849,0.007712154810575533,0.5447122451509155,0.6275062254689192,0.5186018447335575,0.6275062254689192,0.5186018447335575,0.5673856771111738,0.05000553927201104,16,0.6478445532118489,0.684050768747572,0.6750148971976689,0.6472770736887193,0.6627114551241331,0.6633797495939884,0.014585971397527594
0.20707693099975585,0.08434279035699488,0.06800036430358887,0.040119292656185,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504424778761062,0.5,0.5,0.5,0.5,0.5008849557522124,0.0017699115044247816,24,0.5,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5008908685968819,0.00044543429844097205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1495889663696289,0.0474824538380924,0.023368310928344727,0.005109699097842569,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.8245614035087719,0.8928571428571429,0.9464285714285714,0.875,0.875,0.8827694235588972,0.039148820342799914,24,0.9419642857142857,0.9422222222222222,0.9155555555555556,0.9333333333333333,0.9377777777777778,0.9341706349206349,0.009857005468970712,0.9107142857142857,0.8928571428571429,0.9285714285714286,0.9464285714285714,0.9464285714285714,0.925,0.020824828195876048,5,0.9821428571428571,0.96875,0.9776785714285714,0.9642857142857143,0.9732142857142857,0.9732142857142858,0.006313453403451295,0.8672566371681416,0.8928571428571429,0.9375,0.9107142857142857,0.9107142857142857,0.9038084702907712,0.02317959371800226,1,0.9620535714285714,0.955456570155902,0.9465478841870824,0.9487750556792873,0.955456570155902,0.9536579303213492,0.0055018582481131464,0.7375900660174,0.7857142857142857,0.8751395423021391,0.8235321051453478,0.8235321051453478,0.8091016208649041,0.0456910379462792,1,0.9248539483782946,0.9112434660043899,0.8948512919667299,0.8979932894729642,0.911498592340483,0.9080881176325724,0.010768470188053266
0.31897735595703125,0.09230646219000706,0.11939454078674316,0.02234399113615776,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.03508771929824561,1.0,1.0,1.0,1.0,0.8070175438596492,0.38596491228070173,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,20,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.5132743362831859,0.5,0.5,0.5,0.5,0.5026548672566371,0.005309734513274344,20,1.0,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.6008908685968819,0.199554565701559,0.13304853414733492,0.0,0.0,0.0,0.0,0.026609706829466985,0.05321941365893397,20,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001
0.2509577751159668,0.08022506114396781,0.06035747528076172,0.017328071267508065,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504424778761062,0.5,0.5,0.5,0.5,0.5008849557522124,0.0017699115044247816,24,0.5,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5008908685968819,0.00044543429844097205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13090310096740723,0.044331421832332275,0.034765768051147464,0.00862800198583707,0.1,10,linear,"{'C': 0.1, 'gamma': 10, 'kernel': 'linear'}",0.8245614035087719,0.8928571428571429,0.9464285714285714,0.875,0.875,0.8827694235588972,0.039148820342799914,24,0.9419642857142857,0.9422222222222222,0.9155555555555556,0.9333333333333333,0.9377777777777778,0.9341706349206349,0.009857005468970712,0.9107142857142857,0.8928571428571429,0.9285714285714286,0.9464285714285714,0.9464285714285714,0.925,0.020824828195876048,5,0.9821428571428571,0.96875,0.9776785714285714,0.9642857142857143,0.9732142857142857,0.9732142857142858,0.006313453403451295,0.8672566371681416,0.8928571428571429,0.9375,0.9107142857142857,0.9107142857142857,0.9038084702907712,0.02317959371800226,1,0.9620535714285714,0.955456570155902,0.9465478841870824,0.9487750556792873,0.955456570155902,0.9536579303213492,0.0055018582481131464,0.7375900660174,0.7857142857142857,0.8751395423021391,0.8235321051453478,0.8235321051453478,0.8091016208649041,0.0456910379462792,1,0.9248539483782946,0.9112434660043899,0.8948512919667299,0.8979932894729642,0.911498592340483,0.9080881176325724,0.010768470188053266
0.19850101470947265,0.0816489558731285,0.07566046714782715,0.028938691947795254,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.017543859649122806,1.0,1.0,1.0,1.0,0.8035087719298246,0.3929824561403508,33,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,20,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.504424778761062,0.5,0.5,0.5,0.5,0.5008849557522124,0.0017699115044247816,24,1.0,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.6008908685968819,0.199554565701559,0.0936585811581694,0.0,0.0,0.0,0.0,0.01873171623163388,0.03746343246326776,24,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001
0.19114084243774415,0.04562509337009172,0.04915385246276856,0.00893013563534531,0.1,10,sigmoid,"{'C': 0.1, 'gamma': 10, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504424778761062,0.5,0.5,0.5,0.5,0.5008849557522124,0.0017699115044247816,24,0.5,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5011135857461024,0.5008908685968819,0.00044543429844097205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11324915885925294,0.026145025509548853,0.023252487182617188,0.0037192557920519816,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8421052631578947,0.8928571428571429,1.0,0.9107142857142857,0.9107142857142857,0.9112781954887218,0.0509831821908077,13,1.0,1.0,0.9955555555555555,0.9955555555555555,1.0,0.9982222222222223,0.002177324215807283,0.8214285714285714,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.8928571428571429,0.8892857142857142,0.03462628469583093,16,1.0,0.9955357142857143,0.9955357142857143,0.9955357142857143,1.0,0.9973214285714287,0.002187044413199258,0.831858407079646,0.9017857142857143,0.9553571428571429,0.9107142857142857,0.9017857142857143,0.9003002528445005,0.03956870647762944,6,1.0,0.9977728285077951,0.9955456570155902,0.9955456570155902,1.0,0.9977728285077951,0.0019920427416479335,0.6637418063309827,0.8036995796652298,0.9143662142547108,0.8214285714285714,0.8036995796652298,0.8013871502689447,0.080153431403057,6,1.0,0.9955554675663553,0.9910912698412698,0.9910912698412698,1.0,0.995547601449779,0.0039841071869568465
